Rank,Name,Team,Pos,Fantrax,ESPN,MFL,NFFC
1,Justin Jefferson,MIN,WR,1.37,1.5,5.93,1.25
3,Christian McCaffrey,SF,RB,2.69,4.43,10.83,2.68
2,Ja'Marr Chase,CIN,WR,2.9,4.56,8.4,2.42
5,Austin Ekeler,LAC,RB,5.18,4.22,17.65,5.72
7,Cooper Kupp,LAR,WR,5.65,5.59,18.88,6.58
4,Travis Kelce,KC,TE,6.44,6.12,11.53,5.42
6,Tyreek Hill,MIA,WR,6.73,8.31,18.04,6.41
9,Bijan Robinson,ATL,RB,7.98,10.03,4.98,10.39
8,Stefon Diggs,BUF,WR,10.42,12.67,24.98,9.65
14,Saquon Barkley,NYG,RB,11.45,13.31,24.49,14.28
12,A.J. Brown,PHI,WR,12.07,19.23,20.47,13.19
13,Jonathan Taylor,IND,RB,12.17,13.65,19,13.68
11,CeeDee Lamb,DAL,WR,14.16,16.76,17.64,11.93
15,Davante Adams,LV,WR,14.18,12.73,31.3,15.04
20,Nick Chubb,CLE,RB,17.15,16.86,25.84,20.99
16,Josh Allen,BUF,QB,17.7,20.87,9.82,15.85
17,Amon-Ra St. Brown,DET,WR,18.04,19.54,24.34,16.32
10,Patrick Mahomes,KC,QB,18.15,13.44,7.61,11.32
19,Garrett Wilson,NYJ,WR,20.22,20.57,26.31,19.17
22,Derrick Henry,TEN,RB,20.39,12.33,32.52,24.37
24,Josh Jacobs,LV,RB,20.61,18.95,30.45,24.93
18,Jalen Hurts,PHI,QB,20.96,22.73,10.52,17.37
21,Jaylen Waddle,MIA,WR,21.28,23.81,29.03,21.75
26,Tony Pollard,DAL,RB,22.62,23.17,34,26.06
31,Rhamondre Stevenson,NE,RB,25.77,36.64,38.03,30.82
25,DeVonta Smith,PHI,WR,26.43,33.43,40.41,25.9
27,Tee Higgins,CIN,WR,28.81,31.19,39.92,28.54
28,Chris Olave,NO,WR,29.43,42.97,35.92,29.25
33,Breece Hall,NYJ,RB,29.74,31.88,34.22,35.82
30,Najee Harris,PIT,RB,31.98,36.91,39.85,30.52
23,Joe Burrow,CIN,QB,32.27,30.46,15.32,24.89
32,Mark Andrews,BAL,TE,32.6,34,25.37,35.26
29,DK Metcalf,SEA,WR,32.65,29.52,42.57,30.32
34,Travis Etienne,JAX,RB,34.55,29.47,45.95,36.97
36,Deebo Samuel,SF,WR,36.17,38.42,53.04,37.56
39,Kenneth Walker,SEA,RB,37.41,50.79,50.68,41.2
37,Lamar Jackson,BAL,QB,37.5,36.24,17.91,39.91
38,Amari Cooper,CLE,WR,39.18,47.74,62.03,41.07
42,Keenan Allen,LAC,WR,39.89,46.51,60.83,42.01
46,Justin Fields,CHI,QB,41.19,52.89,23.77,46.56
52,Joe Mixon,CIN,RB,41.3,30.57,52.07,51.68
47,Aaron Jones,GB,RB,41.77,36.25,55.02,46.68
41,Jahmyr Gibbs,DET,RB,44.09,41.84,14.87,41.99
48,Calvin Ridley,JAX,WR,44.7,66.87,60.11,48.03
35,Justin Herbert,LAC,QB,44.73,56.11,20.81,37.54
T43,DeAndre Hopkins,TEN,WR,45.99,54.12,82.7,43.95
40,T.J. Hockenson,MIN,TE,47.03,43.11,38.73,41.35
50,DJ Moore,CHI,WR,50.59,63.25,68.32,49.21
53,Terry McLaurin,WAS,WR,51.96,63.88,70.85,52.4
T43,Trevor Lawrence,JAX,QB,52.91,74.5,27.64,43.95
49,Drake London,ATL,WR,53.99,86.53,58.84,48.15
54,Christian Watson,GB,WR,55.53,58.32,62.68,54.55
57,George Kittle,SF,TE,55.73,49.34,49.22,57.86
51,Dalvin Cook,FA,RB,56.39,85.32,92.94,50.37
45,Jerry Jeudy,DEN,WR,56.51,69.44,62.59,44.04
56,J.K. Dobbins,BAL,RB,56.56,83.38,59.3,57.32
63,Dameon Pierce,HOU,RB,57.19,48.01,69.48,65.35
55,Christian Kirk,JAX,WR,59.64,90.83,79.63,55.21
65,Miles Sanders,CAR,RB,59.98,58.54,63.09,66.27
62,Cam Akers,LAR,RB,60.59,79.19,70.68,65.17
61,Mike Williams,LAC,WR,61.73,76.58,88.48,64.27
59,Chris Godwin,TB,WR,62.08,59.27,70.14,59.79
58,Michael Pittman,IND,WR,63.13,92.2,76.27,59.26
60,D'Andre Swift,PHI,RB,64.96,83.79,75.28,62.64
69,Kyle Pitts,ATL,TE,66.16,70.75,49.66,70.15
64,Tyler Lockett,SEA,WR,66.53,80.67,89.84,65.99
68,Brandon Aiyuk,SF,WR,67.58,92.99,77.28,68.3
T70,Dallas Goedert,PHI,TE,68.36,69.93,60.58,71.32
79,Alexander Mattison,MIN,RB,71.59,68.13,71.32,80.66
75,Isiah Pacheco,KC,RB,71.91,73.89,88.83,77.51
