Tm,20-29FGA,20-29FGM,30-39FGA,30-39FGM,40-49FGA,40-49FGM,50+FGA,50+FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%
BAL,13,13,11,11,5,4,14,9,43,37,58,86.00%,32,31,96.90%
TAM,11,10,8,7,12,12,7,2,38,31,54,81.60%,25,24,96.00%
SEA,9,9,16,15,6,4,6,6,37,34,56,91.90%,42,41,97.60%
LVR,9,9,11,11,4,3,13,11,37,34,57,91.90%,36,35,97.20%
NWE,9,9,8,8,14,10,5,4,37,32,54,86.50%,35,32,91.40%
ATL,9,9,7,7,10,9,11,7,37,32,54,86.50%,35,33,94.30%
NYJ,5,5,10,10,11,9,11,6,37,30,60,81.10%,29,28,96.60%
DEN,7,6,6,4,10,10,13,8,36,28,55,77.80%,27,25,92.60%
IND,7,7,6,5,11,9,12,9,36,30,54,83.30%,21,21,100.00%
JAX,8,8,11,10,13,10,3,2,35,30,53,85.70%,37,36,97.30%
CAR,2,2,17,16,14,13,2,2,35,33,54,94.30%,32,30,93.80%
MIN,10,10,5,5,8,7,10,4,33,26,61,78.80%,46,40,87.00%
DAL,9,9,5,5,7,6,11,9,32,29,60,90.60%,53,50,94.30%
SFO,14,13,5,5,11,7,2,2,32,27,51,84.40%,51,50,98.00%
MIA,6,5,7,7,13,12,6,2,32,26,55,81.30%,44,41,93.20%
CLE,5,5,12,9,8,6,7,4,32,24,58,75.00%,37,35,94.60%
NYG,2,2,10,9,11,10,9,8,32,29,57,90.60%,34,32,94.10%
BUF,4,4,13,11,11,10,3,2,31,27,56,87.10%,50,48,96.00%
NOR,6,6,11,9,8,4,6,4,31,23,60,74.20%,33,33,100.00%
HOU,7,7,8,7,10,9,6,6,31,29,56,93.50%,24,24,100.00%
LAR,9,9,8,8,4,4,9,7,30,28,58,93.30%,32,31,96.90%
WAS,8,8,5,4,10,8,6,4,30,25,58,83.30%,28,24,85.70%
CIN,6,5,4,4,13,9,5,5,29,24,59,82.80%,44,40,90.90%
GNB,10,10,8,8,7,6,4,1,29,25,56,86.20%,39,37,94.90%
2TM,7,6,7,7,11,9,3,2,28,24,53,85.70%,33,33,100.00%
PIT,4,4,5,4,10,5,9,7,28,20,59,71.40%,18,18,100.00%
ARI,1,1,10,10,8,6,6,5,25,22,57,88.00%,18,17,94.40%
KAN,7,7,5,4,5,4,7,3,24,18,62,75.00%,41,38,92.70%
PHI,6,6,9,8,2,1,6,5,23,20,56,87.00%,53,51,96.20%
CHI,4,4,7,7,7,6,5,4,23,21,51,91.30%,32,27,84.40%
2TM,7,7,7,7,7,7,1,,22,21,48,95.50%,24,24,100.00%
TEN,5,5,5,5,8,6,2,1,20,17,51,85.00%,28,28,100.00%
2TM,1,1,7,6,8,6,2,2,18,15,59,83.30%,15,15,100.00%
LAC,2,2,6,6,2,1,,,10,9,43,90.00%,12,12,100.00%
2TM,3,3,2,1,1,,,,7,5,31,71.40%,7,5,71.40%
DET,,,1,1,3,2,1,,5,3,48,60.00%,12,12,100.00%
2TM,2,2,,,2,1,1,1,5,4,50,80.00%,5,4,80.00%
TEN,1,1,3,2,,,,,4,3,38,75.00%,1,1,100.00%
LAC,3,3,,,,,,,3,3,28,100.00%,6,6,100.00%
2TM,,,1,1,1,1,,,2,2,46,100.00%,3,3,100.00%
PIT,1,1,1,1,,,,,2,2,38,100.00%,1,1,100.00%
DET,,,,,1,1,,,1,1,49,100.00%,4,2,50.00%
TEN,,,,,,,,,,,,,4,3,75.00%
KAN,,,,,,,,,,,,,2,1,50.00%
SFO,,,,,,,,,,,,,2,1,50.00%
ATL,,,,,,,,,,,,,,,
TAM,,,,,,,,,,,,,,,
DET,,,,,,,,,,,,,,,
NWE,,,,,,,,,,,,,,,
CHI,,,,,,,,,,,,,,,
NYJ,,,,,,,,,,,,,,,
GNB,,,,,,,,,,,,,,,
LAC,,,,,,,,,,,,,,,
3TM,,,,,,,,,,,,,,,
TEN,,,,,,,,,,,,,,,
MIA,,,,,,,,,,,,,,,
CLE,,,,,,,,,,,,,,,
JAX,,,,,,,,,,,,,,,
SEA,,,,,,,,,,,,,,,
LAR,,,,,,,,,,,,,,,
NYG,,,,,,,,,,,,,,,
CAR,,,,,,,,,,,,,,,
BUF,,,,,,,,,,,,,,,
PHI,,,,,,,,,,,,,,,
WAS,,,,,,,,,,,,,,,
