Rk,Player,Tm,Pos,Tgt,Rec,Ctch%,ReYds,Y/R,ReTD,Y/Tgt,R/G,ReY/G
1,Justin Jefferson  ,MIN,WR,184,128,69.60%,1809,14.1,8,9.8,7.5,106.4
2,Tyreek Hill  ,MIA,WR,170,119,70.00%,1710,14.4,7,10.1,7,100.6
3,Travis Kelce  ,KAN,TE,152,110,72.40%,1338,12.2,12,8.8,6.5,78.7
4,Stefon Diggs ,BUF,WR,154,108,70.10%,1429,13.2,11,9.3,6.8,89.3
5,Austin Ekeler,LAC,RB,127,107,84.30%,722,6.7,5,5.7,6.3,42.5
6,CeeDee Lamb ,DAL,WR,156,107,68.60%,1359,12.7,9,8.7,6.3,79.9
7,Amon-Ra St. Brown ,DET,WR,146,106,72.60%,1161,11,6,8,6.6,72.6
8,Chris Godwin,TAM,WR,142,104,73.20%,1023,9.8,3,7.2,6.9,68.2
9,Davante Adams  ,LVR,WR,180,100,55.60%,1516,15.2,14,8.4,5.9,89.2
10,Michael Pittman Jr.,IND,WR,141,99,70.20%,925,9.3,4,6.6,6.2,57.8
11,DeVonta Smith,PHI,WR,136,95,69.90%,1196,12.6,7,8.8,5.6,70.4
12,D.K. Metcalf,SEA,WR,141,90,63.80%,1048,11.6,6,7.4,5.3,61.6
13,A.J. Brown ,PHI,WR,145,88,60.70%,1496,17,11,10.3,5.2,88
14,Ja'Marr Chase ,CIN,WR,134,87,64.90%,1046,12,9,7.8,7.3,87.2
15,T.J. Hockenson ,2TM,TE,129,86,66.70%,914,10.6,6,7.1,5.1,53.8
16,Diontae Johnson,PIT,WR,147,86,58.50%,882,10.3,0,6,5.1,51.9
17,Christian McCaffrey ,2TM,RB,108,85,78.70%,741,8.7,5,6.9,5,43.6
18,Christian Kirk,JAX,WR,133,84,63.20%,1108,13.2,8,8.3,4.9,65.2
19,Tyler Lockett,SEA,WR,117,84,71.80%,1033,12.3,9,8.8,5.3,64.6
20,Garrett Wilson,NYJ,WR,147,83,56.50%,1103,13.3,4,7.5,4.9,64.9
21,Zay Jones,JAX,WR,121,82,67.80%,823,10,5,6.8,5.1,51.4
22,Brandon Aiyuk,SFO,WR,114,78,68.40%,1015,13,8,8.9,4.6,59.7
23,Amari Cooper,CLE,WR,132,78,59.10%,1160,14.9,9,8.8,4.6,68.2
24,JuJu Smith-Schuster,KAN,WR,101,78,77.20%,933,12,3,9.2,4.9,58.3
25,Mike Evans,TAM,WR,127,77,60.60%,1124,14.6,6,8.9,5.1,74.9
26,Terry McLaurin ,WAS,WR,120,77,64.20%,1191,15.5,5,9.9,4.5,70.1
27,Cooper Kupp,LAR,WR,98,75,76.50%,812,10.8,6,8.3,8.3,90.2
28,Jaylen Waddle,MIA,WR,117,75,64.10%,1356,18.1,8,11.6,4.4,79.8
29,Tee Higgins,CIN,WR,109,74,67.90%,1029,13.9,7,9.4,4.6,64.3
30,Mark Andrews ,BAL,TE,113,73,64.60%,847,11.6,5,7.5,4.9,56.5
31,Evan Engram,JAX,TE,98,73,74.50%,766,10.5,4,7.8,4.3,45.1
32,Leonard Fournette,TAM,RB,83,73,88.00%,523,7.2,3,6.3,4.6,32.7
33,Tyler Higbee,LAR,TE,108,72,66.70%,620,8.6,3,5.7,4.2,36.5
34,Drake London,ATL,WR,117,72,61.50%,866,12,4,7.4,4.2,50.9
35,Chris Olave,NOR,WR,119,72,60.50%,1042,14.5,4,8.8,4.8,69.5
36,Josh Palmer,LAC,WR,107,72,67.30%,769,10.7,3,7.2,4.5,48.1
37,Adam Thielen,MIN,WR,107,70,65.40%,716,10.2,6,6.7,4.1,42.1
38,Rhamondre Stevenson,NWE,RB,88,69,78.40%,421,6.1,1,4.8,4.1,24.8
39,Marquise Brown,ARI,WR,107,67,62.60%,709,10.6,3,6.6,5.6,59.1
40,Jerry Jeudy,DEN,WR,100,67,67.00%,972,14.5,6,9.7,4.5,64.8
41,Jakobi Meyers,NWE,WR,96,67,69.80%,804,12,6,8.4,4.8,57.4
42,Keenan Allen,LAC,WR,89,66,74.20%,752,11.4,4,8.4,6.6,75.2
43,DeAndre Hopkins,ARI,WR,96,64,66.70%,717,11.2,3,7.5,7.1,79.7
44,Curtis Samuel,WAS,WR,92,64,69.60%,656,10.3,4,7.1,3.8,38.6
45,Courtland Sutton,DEN,WR,109,64,58.70%,829,13,2,7.6,4.3,55.3
46,Parris Campbell,IND,WR,91,63,69.20%,623,9.9,3,6.8,3.7,36.6
47,Pat Freiermuth,PIT,TE,98,63,64.30%,732,11.6,2,7.5,3.9,45.8
48,D.J. Moore,CAR,WR,118,63,53.40%,888,14.1,7,7.5,3.7,52.2
49,Mike Williams,LAC,WR,93,63,67.70%,895,14.2,4,9.6,4.8,68.8
