Rk,Player,Tm,Pos,Att,RuYds,RuTD,RuY/A,RuY/G,Fmb
1,Derrick Henry,TEN,RB,349,1538,13,4.4,96.1,6
2,Josh Jacobs,LVR,RB,340,1653,12,4.9,97.2,3
3,Nick Chubb,CLE,RB,302,1525,12,5,89.7,1
4,Saquon Barkley,NYG,RB,295,1312,10,4.4,82,1
5,Najee Harris,PIT,RB,272,1034,7,3.8,60.8,3
6,Dalvin Cook,MIN,RB,264,1173,8,4.4,69,4
7,Jamaal Williams,DET,RB,262,1066,17,4.1,62.7,3
8,Miles Sanders,PHI,RB,259,1269,11,4.9,74.6,2
9,Christian McCaffrey,2TM,RB,244,1139,8,4.7,67,1
10,Ezekiel Elliott,DAL,RB,231,876,12,3.8,58.4,0
11,Kenneth Walker III,SEA,RB,228,1050,9,4.6,70,0
12,Alvin Kamara,NOR,RB,223,897,2,4,59.8,4
13,Travis Etienne,JAX,RB,220,1125,5,5.1,66.2,5
14,Dameon Pierce,HOU,RB,220,939,4,4.3,72.2,4
15,Aaron Jones,GNB,RB,213,1121,2,5.3,65.9,5
16,Tyler Allgeier,ATL,RB,210,1035,3,4.9,64.7,0
17,Joe Mixon,CIN,RB,210,814,7,3.9,58.1,0
18,Rhamondre Stevenson,NWE,RB,210,1040,5,5,61.2,4
19,Brian Robinson Jr.,WAS,RB,205,797,2,3.9,66.4,2
20,Austin Ekeler,LAC,RB,204,915,13,4.5,53.8,5
21,D'Onta Foreman,CAR,RB,203,914,5,4.5,53.8,1
22,David Montgomery,CHI,RB,201,801,5,4,50.1,2
23,Tony Pollard,DAL,RB,193,1007,9,5.2,62.9,0
24,Jonathan Taylor,IND,RB,192,861,4,4.5,78.3,3
25,Leonard Fournette,TAM,RB,189,668,3,3.5,41.8,0
26,Cam Akers,LAR,RB,188,786,7,4.2,52.4,2
27,AJ Dillon,GNB,RB,186,770,7,4.1,45.3,1
28,James Conner,ARI,RB,183,782,7,4.3,60.2,3
29,Raheem Mostert,MIA,RB,181,891,3,4.9,55.7,1
30,Devin Singletary,BUF,RB,177,819,5,4.6,51.2,3
31,Jeff Wilson,2TM,RB,176,860,5,4.9,53.8,3
32,Latavius Murray,2TM,RB,171,760,6,4.4,58.5,1
33,Isiah Pacheco,KAN,RB,170,830,5,4.9,48.8,4
34,Jalen Hurts,PHI,QB,165,760,13,4.6,50.7,9
35,Justin Fields,CHI,QB,160,1143,8,7.1,76.2,16
36,Antonio Gibson,WAS,RB,149,546,3,3.7,36.4,1
37,Cordarrelle Patterson,ATL,RB,144,695,8,4.8,53.5,1
38,Khalil Herbert,CHI,RB,129,731,4,5.7,56.2,0
39,Rachaad White,TAM,RB,129,481,1,3.7,28.3,3
40,Josh Allen,BUF,QB,124,762,7,6.1,47.6,13
41,Kareem Hunt,CLE,RB,123,468,3,3.8,27.5,1
42,Daniel Jones,NYG,QB,120,708,7,5.9,44.3,6
43,Michael Carter,NYJ,RB,114,402,3,3.5,25.1,2
44,Lamar Jackson,BAL,QB,112,764,3,6.8,63.7,5
45,James Robinson,2TM,RB,110,425,3,3.9,38.6,1
46,Kenyan Drake,BAL,RB,109,482,4,4.4,40.2,1
47,Damien Harris,NWE,RB,106,462,3,4.4,42,0
48,D'Andre Swift,DET,RB,99,542,5,5.5,38.7,1
49,Taysom Hill,NOR,TE,96,575,7,6,35.9,2
50,Chuba Hubbard,CAR,RB,95,466,2,4.9,31.1,2
51,Samaje Perine,CIN,RB,95,394,2,4.1,24.6,0
52,Zack Moss,2TM,RB,93,456,1,4.9,35.1,1
53,J.K. Dobbins,BAL,RB,92,520,2,5.7,65,0
54,Melvin Gordon,DEN,RB,90,318,2,3.5,31.8,5
55,James Cook,BUF,RB,89,507,2,5.7,31.7,1
56,Gus Edwards,BAL,RB,87,433,3,5,48.1,1
